,Unnamed: 0,full_text,is_retweet,place_cord,place_name,result_type,retweet_count,screen_name,tweet_created,tweet_id,user_id,sentimental_score,sentiment_status,subjectivity,latitude,longitude
425,425,This is sad all the problems this country and he is obsessing over oprah Florida lost 17 souls this week do something Get off your ass and stay off twitter t and golf and do something,0,"[-84.3219475, 33.752879]",North Carolina,recent,0,Jenrebhope,Mon Feb 19 10:40:51 +0000 2018,9.66e+17,8.54e+17,-0.5,very neg,1.0,35.7596,79.0193
433,433,allday Well I hope you re running that office in Haiti because you are the racist and Haiti is a shithole,0,"[-85.605166, 30.355644]",Georgia,recent,0,junem3345,Mon Feb 19 10:38:32 +0000 2018,9.66e+17,3717552138.0,0.0,neu,0.0,32.1656,82.9001
445,445,I wouldn t vote for Oprah if she was the only one running We hit the jackpot getting the president we have MAGA TrumpTrain2020,0,"[-85.605166, 30.355644]",Georgia,recent,0,junem3345,Mon Feb 19 10:35:53 +0000 2018,9.66e+17,3717552138.0,0.0,neu,0.0,32.1656,82.9001
451,451,Totally misread indictments no golf ALL weekend wife pissed off at you called out by a 17year old laughed at by the world and so you try to bait Oprah into a fight Who s insecure again https t co j0QnePYGup,0,"[-88.097892, 37.771743]",Indiana,recent,0,tallies53,Mon Feb 19 10:34:16 +0000 2018,9.66e+17,63870139.0,0.075,pos,0.50625,40.2672,86.1349
456,456,Exposed and defeated Sounds like what s happening to MAGA https t co zhbPG1FbCW,0,"[-80.519851, 39.719801]",Pennsylvania,recent,0,danobrienesq,Mon Feb 19 10:33:02 +0000 2018,9.66e+17,65080365.0,0.0,neu,0.0,41.2033,77.1945
458,458,Russian bot spotted,0,"[-73.508143, 41.187054]",Massachusetts,recent,0,robbie65363336,Mon Feb 19 10:32:51 +0000 2018,9.66e+17,9.6e+17,0.0,neu,0.0,42.4072,71.3824
467,467,Rozayy Exactly why Putin wanted him to lead the country into his bigger hands,0,"[-73.508143, 41.187054]",Massachusetts,recent,0,robbie65363336,Mon Feb 19 10:30:27 +0000 2018,9.66e+17,9.6e+17,0.125,pos,0.375,42.4072,71.3824
468,468,Just like his interview with Lester Holt,0,"[-73.727776, 40.950918]",Connecticut,recent,0,jennine619,Mon Feb 19 10:30:23 +0000 2018,9.66e+17,55017152.0,0.0,neu,0.0,41.6032,73.0877
469,469,incompetence isn t funny it s life threatening to the planet p2 https t co j9EbXIyj3J,0,"[-85.605166, 30.355644]",Georgia,recent,0,TrumanDem,Mon Feb 19 10:30:18 +0000 2018,9.66e+17,14836408.0,0.25,pos,1.0,32.1656,82.9001
472,472,It s time for action https t co KTCwRqJ4ou,0,"[-80.519851, 39.719801]",Pennsylvania,recent,0,dtstevens61,Mon Feb 19 10:30:05 +0000 2018,9.66e+17,100521495.0,0.1,pos,0.1,41.2033,77.1945
475,475,While the country mourns he attacks yet another woman of color TimesUp https t co lkROF3wbvq,0,"[-83.353955, 32.04683]",South Carolina,recent,0,MedlockMandy,Mon Feb 19 10:29:22 +0000 2018,9.66e+17,542018000.0,0.0,neu,0.0,33.8361,81.1637
477,477,That presupposes he at one time was an adult,0,"[-73.508143, 41.187054]",Massachusetts,recent,0,robbie65363336,Mon Feb 19 10:29:06 +0000 2018,9.66e+17,9.6e+17,0.1,pos,0.3,42.4072,71.3824
480,480,I followed Keep up the great tweets Tonya Maga,0,"[-84.8203089, 38.403186]",Ohio,recent,0,JohnDanielMill3,Mon Feb 19 10:28:44 +0000 2018,9.66e+17,8.18e+17,0.8,very pos,0.75,40.4173,82.9071
495,495,liberti Pennsylvania Trump voters agree the tax cuts went to the wealthy while working class was simply thrown a bone And now 22 of them say they will be voting for Democrats https t co 0umotQNjLf,0,"[-73.727776, 40.950918]",Connecticut,recent,0,jennine619,Mon Feb 19 10:26:40 +0000 2018,9.66e+17,55017152.0,0.25,pos,0.678571428571,41.6032,73.0877
