,Unnamed: 0,full_text,is_retweet,place_cord,place_name,result_type,retweet_count,screen_name,tweet_created,tweet_id,user_id,sentimental_score,sentiment_status,subjectivity,latitude,longitude
0,0,Cornered rat,0,"[115.421372, 39.43277]",Beijing,recent,0,peterkalksma,Mon Feb 19 06:10:46 +0000 2018,9.65e+17,15045607.0,0.0,neu,0.0,39.9059631,116.391248
1,1,Russian meddling had no effect except for helping to put a fake president into the office,0,"[121.164993, 43.42833]",Heilongjiang,recent,0,MRW_real_one,Mon Feb 19 05:33:21 +0000 2018,9.65e+17,8.41e+17,-0.25,neg,0.5,48.0000047,127.999992
2,2,you fking psychopath Thank God amp that you re NOT President Hillary promises To Bomb Iran as President https t co 5YYgxjPInL via,0,"[117.998322, 27.14303]",Zhejiang,recent,0,1st04Bravo,Sun Feb 18 16:44:25 +0000 2018,9.65e+17,2563797115.0,0.0,neu,0.0,29.0000001,119.9999999
3,3,you fking psychopath Thank God amp for beating you out of the WH MAGA https t co 5YYgxjPInL,0,"[117.998322, 27.14303]",Zhejiang,recent,0,1st04Bravo,Sun Feb 18 16:41:22 +0000 2018,9.65e+17,2563797115.0,0.0,neu,0.0,29.0000001,119.9999999
4,4,I m sorry but shouldn t your focus be on matters that aren t about you I m reading non stop about school shootings 18 so far 1of them the worst in 10 yrs Priority s Mr President https t co txIVrw4aTZ,0,"[97.387161, 26.033886]",Sichuan,recent,0,Douglas_Hook,Sun Feb 18 15:25:21 +0000 2018,9.65e+17,87561575.0,-0.466666666667,neg,1.0,30.5000001,102.4999999
5,5,Lol should I tell him https t co LFXftJOlKS,0,"[114.875809, 29.407772]",Anhui,recent,0,advocatemnyama,Sun Feb 18 13:57:21 +0000 2018,9.65e+17,140804134.0,0.8,very pos,0.7,32.0,117.0
6,6,Time,0,"[115.421372, 39.43277]",Beijing,recent,0,peterkalksma,Sun Feb 18 13:47:06 +0000 2018,9.65e+17,15045607.0,0.0,neu,0.0,39.9059631,116.391248
7,7,yeah why was it definitely from Russia why do they assume that Chinese ppl were not as russians for programming D https t co WUlviN5xjF,0,"[117.998322, 27.14303]",Zhejiang,recent,0,bayadere2016,Sun Feb 18 12:41:16 +0000 2018,9.65e+17,7.46e+17,0.0,neu,0.25,29.0000001,119.9999999
8,8,Almost two years later the Yankees are still talking about the election https t co fzauybLmFl,0,"[108.786652, 24.639717]",Hunan,recent,0,XhuangZhu,Sun Feb 18 08:44:52 +0000 2018,9.65e+17,2167819788.0,0.0,neu,0.0,27.9995878,112.009538
9,9,I can t believe this guy https t co SC7MDBO9Jg,0,"[115.421372, 39.43277]",Beijing,recent,0,zhousaid,Sun Feb 18 07:54:26 +0000 2018,9.65e+17,67245027.0,0.0,neu,0.0,39.9059631,116.391248
10,10,You disgusting POS,0,"[109.664659, 20.221264]",Guangdong,recent,2,SwitzerNYC,Sun Feb 18 06:16:21 +0000 2018,9.65e+17,27865947.0,-1.0,very neg,1.0,23.1357694,113.1982688
11,11,Gotta admit nobody plays the blame game like the Donald does https t co 3fvi9phaT1,0,"[110.238586, 34.579994]",Shanxi,recent,0,licxtfls,Sun Feb 18 04:12:59 +0000 2018,9.65e+17,21741617.0,-0.4,neg,0.4,37.0,112.0
12,12,Come buddy I ask you to eat stinky tofu,0,"[108.786652, 24.639717]",Hunan,recent,0,XhuangZhu,Sun Feb 18 01:18:39 +0000 2018,9.65e+17,2167819788.0,0.0,neu,0.0,27.9995878,112.009538
13,13,Yes it s quite stunning that took no action except turn his dogs loose on just like he tried to do with Netanyahu IsraelElection,0,"[117.998322, 27.14303]",Zhejiang,recent,0,1st04Bravo,Sun Feb 18 01:02:52 +0000 2018,9.65e+17,2563797115.0,0.174358974359,pos,0.45641025641,29.0000001,119.9999999
14,14,What do you intend to do about Russia trying to effect our democratic election process Why aren t you outraged Are you traitors too Resist TheResistance Indivisible BlueTsunami,0,"[109.664659, 20.221264]",Guangdong,recent,0,SwitzerNYC,Sun Feb 18 00:06:42 +0000 2018,9.65e+17,27865947.0,-0.9,very neg,1.0,23.1357694,113.1982688
15,15,Are you interested in Elastos From China s block chain drive value Internet community https t co l9JYxuws3Q If this information disturbs you please contact me immediately I will see your reply immediately delete the good news and feel very sorry for disturbing your life,0,"[120.858322, 30.69094]",Shanghai,recent,0,clouds621518171,Sat Feb 17 21:09:36 +0000 2018,9.65e+17,7.95e+17,-0.0125,neg,0.725,39.4414872,-78.1322246
16,16,Love the new Twitter banner you buffoon grinning and smiling at what should be a solemn moment You are our greatest embarrassment Resist TheResistance Indivisible BlueTsunami,0,"[109.664659, 20.221264]",Guangdong,recent,0,SwitzerNYC,Sat Feb 17 12:45:28 +0000 2018,9.65e+17,27865947.0,0.545454545455,very pos,0.684848484848,23.1357694,113.1982688
17,17,GA FU amp gun control laws https t co VGFXoBjSKC,0,"[117.998322, 27.14303]",Zhejiang,recent,1,1st04Bravo,Sat Feb 17 00:46:28 +0000 2018,9.65e+17,2563797115.0,0.0,neu,0.0,29.0000001,119.9999999
18,18,gun control proposals You unfortunate dumfk You think a sick mind like N Cruz worried about gun laws At that point he would have mowed ppl down in the parking lot or tossed gas cans into classes amp lit them up gun laws Pffffff You DUMFking hopeless libs https t co jLkwjLJPei,0,"[117.998322, 27.14303]",Zhejiang,recent,0,1st04Bravo,Sat Feb 17 00:43:57 +0000 2018,9.65e+17,2563797115.0,-0.607142857143,very neg,0.928571428571,29.0000001,119.9999999
